respondent_id,site,age_group,age_numeric,residency_duration,residency_numeric,floor_level,floor_numeric,Q4_noise_rating,Q5_noise_sources,Q6_noise_spike,Q6_spike_raw,Q7_concentration_raw,Q7_concentration,Q8_air_quality,Q9_convenience_raw,Q10_community_raw,Q10_community,Q11_QoL_raw,Q11_QoL
1,Waterloo Centre,60+,4,More than 10 years,4,Mid Rise (Floors 6–10),2,5,"Road Traffic / MRT, Commercial Events (Busking, Festivals, Crowds), Construction / Renovation",1,Yes,Not at all,1,4,"Difficult to drive in/out of the block, or even get to the car parks. Very crowded at the market/hawker centre/MRT station","Yes, I feel a strong connection.",2,Improves significantly,1
2,Waterloo Centre,26 – 40,2,More than 10 years,4,Low Rise (Floors 1–5),1,4,Road Traffic / MRT,1,Road jam,Moderately distracting,4,5,Just need to compromise. No nearest supermarket,"Yes, I feel a strong connection.",2,Improves significantly,1
3,Waterloo Centre,26 – 40,2,More than 10 years,4,Low Rise (Floors 1–5),1,6,"Religious Activities (Bells, Chanting, Processions), Commercial Events (Busking, Festivals, Crowds)",1,Yes over temple proceedings,Slightly distracting,3,8,Average,Neutral / Just background noise.,,Neutral,2
4,Waterloo Centre,60+,4,More than 10 years,4,Low Rise (Floors 1–5),1,8,"Religious Activities (Bells, Chanting, Processions)",1,"Yes, lunar calendar 1st/15th",Moderately distracting,4,4,Hard to walk,Yes,2,Neutral,2
5,Waterloo Centre,41 – 59,3,5 - 10 years,3,High Rise (Floors 11+),3,7,"Religious Activities (Bells, Chanting, Processions)",1,"The bells start very early in the morning and it's quite repetitive. As a resident who has lived here for a decade, I appreciate the culture, but the acoustic environment has definitely degraded as more tourists and larger sound systems are used during the ceremonies. It makes it very hard to have a quiet Sunday morning which is the only time I have to rest from my stressful job",Severely affects rest quality,6,5,Too many people,"Yes, very strong",2,Reduces slightly,3
6,Cheng Yan Court,18 – 25,1,Less than 1 year,1,Low Rise (Floors 1–5),1,9,"Commercial Events (Busking, Festivals, Crowds)",1,Every single weekend night,Highly distracting,5,7,Very crowded,No,0,Reduces significantly,4
7,Cheng Yan Court,26 – 40,2,1 - 5 years,2,Mid Rise (Floors 6–10),2,8,Road Traffic / MRT,1,Peak hours are deafening,Moderately distracting,4,6,Accessible,No,0,Reduces slightly,3
8,Cheng Yan Court,41 – 59,3,More than 10 years,4,Low Rise (Floors 1–5),1,9,"Commercial Events (Busking, Festivals, Crowds)",1,"It is absolutely ridiculous how loud the buskers are at Bugis Street. I have called the NEA multiple times because the bass vibrates my windows. This isn't just 'vibrancy,' it's a nuisance. We are residents, not just a backdrop for tourists. My children cannot study and my elderly mother gets very agitated by the constant thumping music that goes on until 10 PM. The trade-off for living in the city shouldn't mean losing our sanity to noise",Highly distracting,5,5,Good amenities,No,0,Reduces significantly,4
9,Cheng Yan Court,60+,4,More than 10 years,4,Mid Rise (Floors 6–10),2,8,"Commercial Events (Busking, Festivals, Crowds)",1,Weekend crowds,Severely affects rest quality,6,5,Hard to move,Neutral,1,Reduces slightly,3
10,Cheng Yan Court,26 – 40,2,1 - 5 years,2,Low Rise (Floors 1–5),1,7,Road Traffic / MRT,1,Every day,Slightly distracting,3,6,Good,Maybe,1,Neutral,2
11,Albert Centre,60+,4,More than 10 years,4,Low Rise (Floors 1–5),1,7,"Commercial Events (Busking, Festivals, Crowds)",1,Early morning market noise,Severely affects rest quality,6,3,Convenient,Yes,2,Neutral,2
12,Albert Centre,41 – 59,3,5 - 10 years,3,Mid Rise (Floors 6–10),2,6,Construction / Renovation,1,Intermittent,Slightly distracting,3,6,Good,Yes,2,Improves significantly,1
13,Albert Centre,26 – 40,2,1 - 5 years,2,High Rise (Floors 11+),3,5,Road Traffic / MRT,1,Rush hour,Neutral,2,7,Okay,No,0,Improves significantly,1
14,Albert Centre,60+,4,More than 10 years,4,Low Rise (Floors 1–5),1,8,"Commercial Events (Busking, Festivals, Crowds)",1,Morning delivery trucks,Moderately distracting,4,4,Crowded,Yes,2,Neutral,2
15,Albert Centre,41 – 59,3,1 - 5 years,2,Mid Rise (Floors 6–10),2,7,Road Traffic / MRT,1,Constant traffic,Moderately distracting,4,6,Convenient,Neutral,1,Neutral,2
16,Bras Basah Complex,18 – 25,1,1 - 5 years,2,Mid Rise (Floors 6–10),2,8,Road Traffic / MRT,1,Constant traffic hum,Highly distracting,5,5,Perfect location,No,0,Reduces slightly,3
17,Bras Basah Complex,26 – 40,2,5 - 10 years,3,High Rise (Floors 11+),3,6,Road Traffic / MRT,1,Peak periods,Slightly distracting,3,6,Busy,Neutral,1,Improves significantly,1
18,Bras Basah Complex,41 – 59,3,More than 10 years,4,Low Rise (Floors 1–5),1,9,Road Traffic / MRT,1,24/7 road noise,Severely affects rest quality,6,5,Very accessible,Neutral,1,Reduces significantly,4
19,Bras Basah Complex,60+,4,More than 10 years,4,Mid Rise (Floors 6–10),2,7,Commercial Events,1,Atrium events,Moderately distracting,4,6,Good food access,Yes,2,Neutral,2
20,Bras Basah Complex,26 – 40,2,1 - 5 years,2,Low Rise (Floors 1–5),1,8,Road Traffic / MRT,1,Buses and sirens,Highly distracting,5,5,Busy,No,0,Reduces slightly,3
